orig.question.name,orig.cleaned.name,question.text
heredtraits[5],heredtraits5,Please indicate whether any of your immediate or extended family have exhibited any of the following: [Visual or artistic talents?]
heredtraits[6],heredtraits6,Please indicate whether any of your immediate or extended family have exhibited any of the following: [Intellectual or mental talents?]
heredtraits[7],heredtraits7,Please indicate whether any of your immediate or extended family have exhibited any of the following: [Talents in music?]
heredphysical[01],heredphysical01,Please indicate whether any of your immediate or extended family have had any of the following: [Infertility]
heredphysical[02],heredphysical02,Please indicate whether any of your immediate or extended family have had any of the following: [Arrhythmia]
heredphysical[03],heredphysical03,Please indicate whether any of your immediate or extended family have had any of the following: [Seizures/epilepsy]
heredphysical[04],heredphysical04,Please indicate whether any of your immediate or extended family have had any of the following: [Have you ever had changes in your sexual drive?]
heredphysical[05],heredphysical05,Please indicate whether any of your immediate or extended family have had any of the following: [Headaches/migraines]
heredphysical[06],heredphysical06,Please indicate whether any of your immediate or extended family have had any of the following: [Osteoporosis]
heredphysical[07],heredphysical07,Please indicate whether any of your immediate or extended family have had any of the following: [High blood pressure]
heredphysical[08],heredphysical08,Please indicate whether any of your immediate or extended family have had any of the following: [Heart problems]
heredphysical[09],heredphysical09,Please indicate whether any of your immediate or extended family have had any of the following: [Cancer]
heredphysical[10],heredphysical10,Please indicate whether any of your immediate or extended family have had any of the following: [Backpains]
heredphysical[11],heredphysical11,Please indicate whether any of your immediate or extended family have had any of the following: [Medication for physical illness]
heredphysical[12],heredphysical12,Please indicate whether any of your immediate or extended family have had any of the following: [Strokes]
heredphysical[13],heredphysical13,Please indicate whether any of your immediate or extended family have had any of the following: [Insomnia]
heredphysical[14],heredphysical14,Please indicate whether any of your immediate or extended family have had any of the following: [Thyroid]
heredphysical[15],heredphysical15,Please indicate whether any of your immediate or extended family have had any of the following: [Food allergies]
heredphysical[16],heredphysical16,Please indicate whether any of your immediate or extended family have had any of the following: [High cholesterol]
heredphysical[17],heredphysical17,Please indicate whether any of your immediate or extended family have had any of the following: [Diabetes]
heredphysical[18],heredphysical18,Please indicate whether any of your immediate or extended family have had any of the following: [Increased heartbeat]
heredmental[01_P],heredmental01_P,Has anyone in your immeditate or extended family had any mental illnesses? [Substance abuse][Parents]
heredmental[01_S],heredmental01_S,Has anyone in your immeditate or extended family had any mental illnesses? [Substance abuse][Siblings]
heredmental[01_C],heredmental01_C,Has anyone in your immeditate or extended family had any mental illnesses? [Substance abuse][Children]
heredmental[01_G],heredmental01_G,Has anyone in your immeditate or extended family had any mental illnesses? [Substance abuse][Grandparents]
heredmental[01_O],heredmental01_O,Has anyone in your immeditate or extended family had any mental illnesses? [Substance abuse][Other extended family]
heredmental[02_P],heredmental02_P,Has anyone in your immeditate or extended family had any mental illnesses? [Mood disorders][Parents]
heredmental[02_S],heredmental02_S,Has anyone in your immeditate or extended family had any mental illnesses? [Mood disorders][Siblings]
heredmental[02_C],heredmental02_C,Has anyone in your immeditate or extended family had any mental illnesses? [Mood disorders][Children]
heredmental[02_G],heredmental02_G,Has anyone in your immeditate or extended family had any mental illnesses? [Mood disorders][Grandparents]
heredmental[02_O],heredmental02_O,Has anyone in your immeditate or extended family had any mental illnesses? [Mood disorders][Other extended family]
heredmental[03_P],heredmental03_P,Has anyone in your immeditate or extended family had any mental illnesses? [Multiple personality][Parents]
heredmental[03_S],heredmental03_S,Has anyone in your immeditate or extended family had any mental illnesses? [Multiple personality][Siblings]
heredmental[03_C],heredmental03_C,Has anyone in your immeditate or extended family had any mental illnesses? [Multiple personality][Children]
heredmental[03_G],heredmental03_G,Has anyone in your immeditate or extended family had any mental illnesses? [Multiple personality][Grandparents]
heredmental[03_O],heredmental03_O,Has anyone in your immeditate or extended family had any mental illnesses? [Multiple personality][Other extended family]
heredmental[04_P],heredmental04_P,Has anyone in your immeditate or extended family had any mental illnesses? [Anxiety][Parents]
heredmental[04_S],heredmental04_S,Has anyone in your immeditate or extended family had any mental illnesses? [Anxiety][Siblings]
heredmental[04_C],heredmental04_C,Has anyone in your immeditate or extended family had any mental illnesses? [Anxiety][Children]
heredmental[04_G],heredmental04_G,Has anyone in your immeditate or extended family had any mental illnesses? [Anxiety][Grandparents]
heredmental[04_O],heredmental04_O,Has anyone in your immeditate or extended family had any mental illnesses? [Anxiety][Other extended family]
heredmental[05_P],heredmental05_P,Has anyone in your immeditate or extended family had any mental illnesses? [Depression][Parents]
heredmental[05_S],heredmental05_S,Has anyone in your immeditate or extended family had any mental illnesses? [Depression][Siblings]
heredmental[05_C],heredmental05_C,Has anyone in your immeditate or extended family had any mental illnesses? [Depression][Children]
heredmental[05_G],heredmental05_G,Has anyone in your immeditate or extended family had any mental illnesses? [Depression][Grandparents]
heredmental[05_O],heredmental05_O,Has anyone in your immeditate or extended family had any mental illnesses? [Depression][Other extended family]
heredmental[06_P],heredmental06_P,Has anyone in your immeditate or extended family had any mental illnesses? [ADHD][Parents]
heredmental[06_S],heredmental06_S,Has anyone in your immeditate or extended family had any mental illnesses? [ADHD][Siblings]
heredmental[06_C],heredmental06_C,Has anyone in your immeditate or extended family had any mental illnesses? [ADHD][Children]
heredmental[06_G],heredmental06_G,Has anyone in your immeditate or extended family had any mental illnesses? [ADHD][Grandparents]
heredmental[06_O],heredmental06_O,Has anyone in your immeditate or extended family had any mental illnesses? [ADHD][Other extended family]
heredmental[07_P],heredmental07_P,Has anyone in your immeditate or extended family had any mental illnesses? [Obsessive compulsive disorder/tendencies][Parents]
heredmental[07_S],heredmental07_S,Has anyone in your immeditate or extended family had any mental illnesses? [Obsessive compulsive disorder/tendencies][Siblings]
heredmental[07_C],heredmental07_C,Has anyone in your immeditate or extended family had any mental illnesses? [Obsessive compulsive disorder/tendencies][Children]
heredmental[07_G],heredmental07_G,Has anyone in your immeditate or extended family had any mental illnesses? [Obsessive compulsive disorder/tendencies][Grandparents]
heredmental[07_O],heredmental07_O,Has anyone in your immeditate or extended family had any mental illnesses? [Obsessive compulsive disorder/tendencies][Other extended family]
heredmental[08_P],heredmental08_P,Has anyone in your immeditate or extended family had any mental illnesses? [Mania][Parents]
heredmental[08_S],heredmental08_S,Has anyone in your immeditate or extended family had any mental illnesses? [Mania][Siblings]
heredmental[08_C],heredmental08_C,Has anyone in your immeditate or extended family had any mental illnesses? [Mania][Children]
heredmental[08_G],heredmental08_G,Has anyone in your immeditate or extended family had any mental illnesses? [Mania][Grandparents]
heredmental[08_O],heredmental08_O,Has anyone in your immeditate or extended family had any mental illnesses? [Mania][Other extended family]
heredmental[09_P],heredmental09_P,"Has anyone in your immeditate or extended family had any mental illnesses? [Suicide, suicidal thoughts/tendencies][Parents]"
heredmental[09_S],heredmental09_S,"Has anyone in your immeditate or extended family had any mental illnesses? [Suicide, suicidal thoughts/tendencies][Siblings]"
heredmental[09_C],heredmental09_C,"Has anyone in your immeditate or extended family had any mental illnesses? [Suicide, suicidal thoughts/tendencies][Children]"
heredmental[09_G],heredmental09_G,"Has anyone in your immeditate or extended family had any mental illnesses? [Suicide, suicidal thoughts/tendencies][Grandparents]"
heredmental[09_O],heredmental09_O,"Has anyone in your immeditate or extended family had any mental illnesses? [Suicide, suicidal thoughts/tendencies][Other extended family]"
heredmental[10_P],heredmental10_P,Has anyone in your immeditate or extended family had any mental illnesses? [Hyperactivity][Parents]
heredmental[10_S],heredmental10_S,Has anyone in your immeditate or extended family had any mental illnesses? [Hyperactivity][Siblings]
heredmental[10_C],heredmental10_C,Has anyone in your immeditate or extended family had any mental illnesses? [Hyperactivity][Children]
heredmental[10_G],heredmental10_G,Has anyone in your immeditate or extended family had any mental illnesses? [Hyperactivity][Grandparents]
heredmental[10_O],heredmental10_O,Has anyone in your immeditate or extended family had any mental illnesses? [Hyperactivity][Other extended family]
heredmental[11_P],heredmental11_P,Has anyone in your immeditate or extended family had any mental illnesses? [Schizophrenia][Parents]
heredmental[11_S],heredmental11_S,Has anyone in your immeditate or extended family had any mental illnesses? [Schizophrenia][Siblings]
heredmental[11_C],heredmental11_C,Has anyone in your immeditate or extended family had any mental illnesses? [Schizophrenia][Children]
heredmental[11_G],heredmental11_G,Has anyone in your immeditate or extended family had any mental illnesses? [Schizophrenia][Grandparents]
heredmental[11_O],heredmental11_O,Has anyone in your immeditate or extended family had any mental illnesses? [Schizophrenia][Other extended family]
heredmental[12_P],heredmental12_P,Has anyone in your immeditate or extended family had any mental illnesses? [Autism][Parents]
heredmental[12_S],heredmental12_S,Has anyone in your immeditate or extended family had any mental illnesses? [Autism][Siblings]
heredmental[12_C],heredmental12_C,Has anyone in your immeditate or extended family had any mental illnesses? [Autism][Children]
heredmental[12_G],heredmental12_G,Has anyone in your immeditate or extended family had any mental illnesses? [Autism][Grandparents]
heredmental[12_O],heredmental12_O,Has anyone in your immeditate or extended family had any mental illnesses? [Autism][Other extended family]
heredmental[13_P],heredmental13_P,Has anyone in your immeditate or extended family had any mental illnesses? [Nervous problems][Parents]
heredmental[13_S],heredmental13_S,Has anyone in your immeditate or extended family had any mental illnesses? [Nervous problems][Siblings]
heredmental[13_C],heredmental13_C,Has anyone in your immeditate or extended family had any mental illnesses? [Nervous problems][Children]
heredmental[13_G],heredmental13_G,Has anyone in your immeditate or extended family had any mental illnesses? [Nervous problems][Grandparents]
heredmental[13_O],heredmental13_O,Has anyone in your immeditate or extended family had any mental illnesses? [Nervous problems][Other extended family]
heredmental[14_P],heredmental14_P,Has anyone in your immeditate or extended family had any mental illnesses? [Medication for mental illness][Parents]
heredmental[14_S],heredmental14_S,Has anyone in your immeditate or extended family had any mental illnesses? [Medication for mental illness][Siblings]
heredmental[14_C],heredmental14_C,Has anyone in your immeditate or extended family had any mental illnesses? [Medication for mental illness][Children]
heredmental[14_G],heredmental14_G,Has anyone in your immeditate or extended family had any mental illnesses? [Medication for mental illness][Grandparents]
heredmental[14_O],heredmental14_O,Has anyone in your immeditate or extended family had any mental illnesses? [Medication for mental illness][Other extended family]
heredmental[15_P],heredmental15_P,Has anyone in your immeditate or extended family had any mental illnesses? [Bipolar][Parents]
heredmental[15_S],heredmental15_S,Has anyone in your immeditate or extended family had any mental illnesses? [Bipolar][Siblings]
heredmental[15_C],heredmental15_C,Has anyone in your immeditate or extended family had any mental illnesses? [Bipolar][Children]
heredmental[15_G],heredmental15_G,Has anyone in your immeditate or extended family had any mental illnesses? [Bipolar][Grandparents]
heredmental[15_O],heredmental15_O,Has anyone in your immeditate or extended family had any mental illnesses? [Bipolar][Other extended family]
heredmental[16_P],heredmental16_P,Has anyone in your immeditate or extended family had any mental illnesses? [Psychotic][Parents]
heredmental[16_S],heredmental16_S,Has anyone in your immeditate or extended family had any mental illnesses? [Psychotic][Siblings]
heredmental[16_C],heredmental16_C,Has anyone in your immeditate or extended family had any mental illnesses? [Psychotic][Children]
heredmental[16_G],heredmental16_G,Has anyone in your immeditate or extended family had any mental illnesses? [Psychotic][Grandparents]
heredmental[16_O],heredmental16_O,Has anyone in your immeditate or extended family had any mental illnesses? [Psychotic][Other extended family]
heredmental[17_P],heredmental17_P,Has anyone in your immeditate or extended family had any mental illnesses? [Post Traumatic Stress Disorder][Parents]
heredmental[17_S],heredmental17_S,Has anyone in your immeditate or extended family had any mental illnesses? [Post Traumatic Stress Disorder][Siblings]
heredmental[17_C],heredmental17_C,Has anyone in your immeditate or extended family had any mental illnesses? [Post Traumatic Stress Disorder][Children]
heredmental[17_G],heredmental17_G,Has anyone in your immeditate or extended family had any mental illnesses? [Post Traumatic Stress Disorder][Grandparents]
heredmental[17_O],heredmental17_O,Has anyone in your immeditate or extended family had any mental illnesses? [Post Traumatic Stress Disorder][Other extended family]
heredopentext,heredopentext,OPTIONAL: Please briefly include anything we may have overlooked.
demosexorientation,demosexorientation,What is your sexual orientation?
demoemploystatus,demoemploystatus,What is your current employment status?
demovetstatus,demovetstatus,Have you or are you now serving for the military?
demoactivecombat,demoactivecombat,Have you engaged in active combat?
demoptsd[1],demoptsd1,If you were in active combat for your service.... [Do you have post traumatic stress disorder from your service?]
demobirthplace,demobirthplace,"Please tell us where you were born, (city or town, country)"
demoethnicity,demoethnicity,Please type in the ethnicity you identify yourself as
demorelstatus,demorelstatus,What is your relationship status?
demohighested,demohighested,What is the highest level of education you completed?
demonetworth,demonetworth,"What is your net worth? Please combine if more than one. (CAD, EURO, USD, GBP)"
demoincome,demoincome,"What is your yearly income? Please combine if more than one. (CAD, EURO, USD, GBP)"
demobloodtype,demobloodtype,What is your blood type?
demoopentext,demoopentext,OPTIONAL: Please briefly include anything we may have overlooked.
